Width,Length,Price
22,5,2.50
22,10,5.35
22,20,11.50
22,30,16.50
22,40,21.50
22,50,26.50
22,60,30.00
22,70,33.50
22,80,37.50
22,90,41.50
22,100,45.00
22,110,47.00
22,120,49.00
22,130,53.50
22,140,57.50
22,150,61.50
22,160,65.50
22,170,68.00
22,180,70.00
22,190,74.00
22,200,76.00
22,250,87.50
22,300,102.00
22,350,119.00
22,400,136.00
22,450,153.00
22,500,170.00
22,550,187.00
22,600,204.00
22,650,221.00
22,700,238.00
22,750,255.00
22,800,272.00
22,850,289.00
22,900,306.00
22,950,323.00
22,1000,320.00
